Winner,Year,State,Democratic,Republican,Independent
dem,2016,Nationwide,48.03376878,45.94146515,3.274455733
rep,2016,Alabama,34.35794576,62.08309236,2.094169086
rep,2016,Alaska,36.55087129,51.28151208,5.877128007
rep,2016,Arizona,44.58041884,48.08314492,4.082188173
rep,2016,Arkansas,33.65312413,60.57410216,2.638251956
dem,2016,California,61.48236634,31.49210936,3.360752202
dem,2016,Colorado,48.15651271,43.25097734,5.183748063
dem,2016,Connecticut,54.5663011,40.92691438,2.959171267
dem,2016,Delaware,53.08597746,41.71274453,3.325041571
rep,2016,Florida,47.41271933,48.6010539,2.179029106
rep,2016,Georgia,45.34559797,50.44384267,3.025658919
dem,2016,Hawaii,62.22149173,30.03867701,3.719427328
rep,2016,Idaho,27.48492613,59.24615422,4.103367018
dem,2016,Illinois,55.24663861,38.35991935,3.746518853
rep,2016,Indiana,37.46158209,56.46784353,4.858642381
rep,2016,Iowa,41.74048917,51.14732722,3.779363244
rep,2016,Kansas,35.73996342,56.16364861,4.637436127
rep,2016,Kentucky,32.68218833,62.51963855,2.793546654
rep,2016,Louisiana,38.4495661,58.08868465,1.871729968
dem,2016,Maine,47.83020268,44.86975333,5.094748552
dem,2016,Maryland,60.32574424,33.90930473,2.862000557
dem,2016,Massachusetts,60.00506459,32.80835814,4.150859868
rep,2016,Michigan,47.02978281,47.25166139,3.568132729
dem,2016,Minnesota,46.44199627,44.92792251,3.836165084
rep,2016,Mississippi,40.05745247,57.85822335,1.191903479
rep,2016,Missouri,37.87807147,56.3895118,3.443078461
rep,2016,Montana,35.41275592,55.64522879,5.587040823
rep,2016,Nebraska,33.69875638,58.74735113,4.613214218
dem,2016,Nevada,47.91782368,45.50069532,3.321885399
dem,2016,New Hampshire,46.82626267,46.45866698,4.135048422
dem,2016,New Jersey,54.98925826,41.00451964,1.855186559
dem,2016,New Mexico,48.25564718,40.04251433,9.337244886
dem,2016,New York,59.00604459,36.51558845,2.287108398
rep,2016,North Carolina,46.17286617,49.8280947,2.744368736
rep,2016,North Dakota,27.22673946,62.95562783,6.224300151
rep,2016,Ohio,43.24305774,51.31383784,3.151758647
rep,2016,Oklahoma,28.93168028,65.32286482,5.745454896
dem,2016,Oregon,50.071852,39.09403518,4.708404786
rep,2016,Pennsylvania,47.45548192,48.17372575,2.379146215
dem,2016,Rhode Island,54.40660657,38.8980575,3.177031266
rep,2016,South Carolina,40.67341979,54.93933269,2.339675144
rep,2016,South Dakota,31.73742816,61.53075038,5.633719092
rep,2016,Tennessee,34.7163328,60.72203369,2.806867709
rep,2016,Texas,43.23525798,52.23468558,3.160718662
rep,2016,Utah,27.16646803,45.05338838,3.46344573
dem,2016,Vermont,56.67778599,30.26943476,3.198684724
dem,2016,Virginia,49.75135283,44.42764701,2.969655153
dem,2016,Washington,52.53904436,36.83293558,4.850141514
rep,2016,West Virginia,26.17663412,67.85218605,3.189546761
rep,2016,Wisconsin,46.45384137,47.21818457,3.584295146
rep,2016,Wyoming,21.87735735,68.17263308,5.193297609
dem,2016,Washington DC,90.86382153,4.087474459,1.57613375
dem,2012,Nationwide,51.00647842,47.14987728,0
rep,2012,Alabama,38.3590331,60.54582233,0
rep,2012,Alaska,40.81265911,54.8015774,0
rep,2012,Arizona,44.44854868,53.48460629,0
rep,2012,Arkansas,36.8789903,60.56693608,0
dem,2012,California,60.15928535,37.07128203,0
dem,2012,Colorado,51.44561533,46.08530215,0
dem,2012,Connecticut,58.05728441,40.72494232,0
dem,2012,Delaware,58.60635242,39.97960964,0
dem,2012,Florida,49.90189204,49.02686297,0
rep,2012,Georgia,45.38535128,53.18556155,0
dem,2012,Hawaii,70.54523036,27.83893149,0
rep,2012,Idaho,32.40039468,64.09076928,0
dem,2012,Illinois,57.4988308,40.65969054,0
rep,2012,Indiana,43.83639628,54.03701964,0
dem,2012,Iowa,51.98801653,46.17786851,0
rep,2012,Kansas,38.04596568,59.65895037,0
rep,2012,Kentucky,37.78375216,60.46501539,0
rep,2012,Louisiana,40.57746362,57.78457573,0
dem,2012,Maine,56.26994588,40.98208026,0
dem,2012,Maryland,61.97419078,35.89773234,0
dem,2012,Massachusetts,60.6661096,37.51727952,0
dem,2012,Michigan,54.04421961,44.57566156,0
dem,2012,Minnesota,52.65230315,44.95820111,0
rep,2012,Mississippi,43.78935954,55.28584674,0
rep,2012,Missouri,44.28124872,53.63989942,0
rep,2012,Montana,41.66061212,55.30172307,0
rep,2012,Nebraska,38.02731442,59.80319218,0
dem,2012,Nevada,52.35624947,45.67531564,0
dem,2012,New Hampshire,51.97968415,46.40379649,0
dem,2012,New Jersey,58.24509605,40.5010216,0
dem,2012,New Mexico,52.99282813,42.8433813,0
dem,2012,New York,63.34610175,35.16886732,0
rep,2012,North Carolina,48.35096858,50.3930641,0
rep,2012,North Dakota,38.69081013,58.32214911,0
dem,2012,Ohio,50.57668361,47.60272613,0
rep,2012,Oklahoma,33.22768026,66.77231974,0
dem,2012,Oregon,54.23932665,42.14987118,0
dem,2012,Pennsylvania,51.96013372,46.57623652,0
dem,2012,Rhode Island,62.70095886,35.24366157,0
rep,2012,South Carolina,44.08803341,54.56113126,0
rep,2012,South Dakota,39.86614076,57.88931188,0
rep,2012,Tennessee,39.03886539,59.42247239,0
rep,2012,Texas,41.35396921,57.12637939,0
rep,2012,Utah,24.6667274,72.54660527,0
dem,2012,Vermont,66.5705503,30.97263524,0
dem,2012,Virginia,51.1564568,47.2831029,0
dem,2012,Washington,55.7984563,41.02629469,0
rep,2012,West Virginia,35.45041875,62.1400377,0
dem,2012,Wisconsin,52.82776165,45.88549077,0
rep,2012,Wyoming,27.81888774,68.64262169,0
dem,2012,Washington DC,90.91311393,7.278291418,0
dem,2008,Nationwide,52.8618464,45.59871725,0
rep,2008,Alabama,38.74043429,60.31691303,0
rep,2008,Alaska,37.8893736,59.42451954,0
rep,2008,Arizona,44.91231588,53.39398864,0
rep,2008,Arkansas,38.86465977,58.7159045,0
dem,2008,California,60.91748832,36.89722723,0
dem,2008,Colorado,53.66035357,44.70730747,0
dem,2008,Connecticut,60.58885361,38.2214401,0
dem,2008,Delaware,61.91204413,36.9287667,0
dem,2008,Florida,50.90633324,48.09914068,0
rep,2008,Georgia,46.89849696,52.1026622,0
dem,2008,Hawaii,71.84611789,26.58168125,0
rep,2008,Idaho,35.90835503,61.20579418,0
dem,2008,Illinois,61.830693,36.72899195,0
dem,2008,Indiana,49.84437678,48.81447028,0
dem,2008,Iowa,53.92802007,44.39325936,0
rep,2008,Kansas,41.55107101,56.47511892,0
rep,2008,Kentucky,41.1463312,57.36865058,0
rep,2008,Louisiana,39.9329138,58.56272131,0
dem,2008,Maine,57.7057373,40.38401834,0
dem,2008,Maryland,61.91934476,36.47451965,0
dem,2008,Massachusetts,61.79991425,35.98926217,0
dem,2008,Michigan,57.32997166,40.88605251,0
dem,2008,Minnesota,54.0602927,43.82293104,0
rep,2008,Mississippi,42.99908755,56.17296632,0
rep,2008,Missouri,49.22691561,49.36016423,0
rep,2008,Montana,47.11496702,49.49406393,0
rep,2008,Nebraska,41.59826578,56.53185337,0
dem,2008,Nevada,55.14667592,42.65411511,0
dem,2008,New Hampshire,54.12689706,44.52142847,0
dem,2008,New Jersey,57.13668955,41.60530478,0
dem,2008,New Mexico,56.90748026,41.77903483,0
dem,2008,New York,62.88414736,36.02656372,0
dem,2008,North Carolina,49.70438126,49.37550875,0
rep,2008,North Dakota,44.50301821,53.15291215,0
dem,2008,Ohio,51.3829227,46.80005404,0
rep,2008,Oklahoma,34.35491888,65.64508112,0
dem,2008,Oregon,56.74880626,40.40098169,0
dem,2008,Pennsylvania,54.46556515,44.15087019,0
dem,2008,Rhode Island,62.86400461,35.05784647,0
rep,2008,South Carolina,44.89656002,53.87364398,0
rep,2008,South Dakota,44.74743111,53.15897637,0
rep,2008,Tennessee,41.79264115,56.84812577,0
rep,2008,Texas,43.62913186,55.38382483,0
rep,2008,Utah,34.16802573,62.1514584,0
dem,2008,Vermont,67.4556832,30.44922872,0
dem,2008,Virginia,52.62946987,46.33050069,0
dem,2008,Washington,57.34354187,40.25911968,0
rep,2008,West Virginia,42.49017302,55.58008902,0
dem,2008,Wisconsin,56.21778652,42.31366249,0
rep,2008,Wyoming,32.54089799,64.7762882,0
dem,2008,Washington DC,92.45710976,6.532557466,0
rep,2004,Nationwide,48.26278198,50.72587976,0
rep,2004,Alabama,36.84373721,62.45956222,0
rep,2004,Alaska,35.51686191,61.06532991,0
rep,2004,Arizona,44.31938463,54.77371681,0
rep,2004,Arkansas,44.54763045,54.30595908,0
dem,2004,California,54.30334542,44.35588908,0
rep,2004,Colorado,47.02216798,51.694272,0
dem,2004,Connecticut,54.31370897,43.94727791,0
dem,2004,Delaware,53.33546513,45.74306499,0
rep,2004,Florida,47.09111003,52.09751623,0
rep,2004,Georgia,41.34231669,57.92903636,0
dem,2004,Hawaii,54.00955216,45.26459571,0
rep,2004,Idaho,30.2613264,68.38283089,0
dem,2004,Illinois,54.82316021,44.47862683,0
rep,2004,Indiana,39.26297467,59.94476504,0
rep,2004,Iowa,49.23313168,49.90065751,0
rep,2004,Kansas,36.62309431,62.00398062,0
rep,2004,Kentucky,39.68271997,59.54298224,0
rep,2004,Louisiana,42.2158647,56.72202134,0
dem,2004,Maine,53.57285569,44.57645744,0
dem,2004,Maryland,55.91424566,42.93427936,0
